osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia
node,2593135339,,,,,4623,39.0661247,74.2418004,,,
node,5767977000,,,,,4623,39.5484911,71.3454462,,,
node,3998101934,Молдо-Баши,,,,4622,41.5501116,76.8847257,,,
node,2589812519,,,,,4621,41.900167,79.9030515,,,
node,5604555808,Naryn-Tau,Naryn-Tau,,,4620,41.3539302,76.4668517,,,
node,5767976449,,,,,4620,39.5420511,71.3153662,,,
node,11987843844,Snezhnaya,Snezhnaya,,,4620,40.1439195,73.7886913,,,
node,12110797484,,,,,4619,42.0300165,78.0347197,,,
node,3660079885,Betkhoven,Betkhoven,Бетховена,Бетховен,4617,42.9360543,77.2611328,,,
node,5604556457,,,,,4616,40.6527778,74.4816667,,,
node,7315203286,Салиевой,,,,4616,39.6989405,71.8724942,,,
node,1882765924,Тенисбай,,,,4615,39.6031422,69.5955562,,,
node,2589812479,,,,,4615,41.8530743,79.8339234,,,
node,3346060509,Ак-Тоо,,,,4612,42.5021885,74.5332926,,,
node,3417330776,Добровольского,,,,4612,39.7019809,71.8329611,,,
node,5605660901,пик Бригантина,,,,4612,42.1982437,78.5672364,,,
node,8934455314,Kopir,Kopir,Копир,,4612,43.1289568,77.3520359,,,
node,3336576833,,,,,4611,42.5215028,74.7523211,,,
node,1867556482,,,,,4610,42.1161748,78.8765964,,,
node,2589812509,,,,,4610,41.8831945,79.7689509,,,
node,2626958924,,,,,4610,39.1911332,73.901213,,,
node,2117817729,,,,,4605,41.9098467,79.7887123,,,
node,5610389644,Таврия,,,,4605,39.9906333,72.7391767,,,
node,5760392713,пик Андреева,,,,4605,39.640821,71.5327462,,,
node,8998582833,Charlotte peak,Charlotte peak,пик Шарлотта,Шарлотта чокусу,4605,42.0842008,78.8391492,,,
node,3336726184,пик Лесгафта,,пик Лесгафта,,4603,42.4260025,74.74552,,,
node,5604553157,Эффект бабочки,,,,4602,41.0445095,77.2909748,,,
node,1867556539,,,,,4601,42.2288828,78.7581324,,,
node,2386082359,Metallurg,Metallurg,Металлург,,4600,43.142073,77.3664162,,,
node,3336576802,Салык-Баши,,,,4600,42.4894333,74.7436274,,,
node,5604556424,Jel'-Tegirmen,Jel'-Tegirmen,,,4600,41.0252056,75.8973472,,,
node,5604556435,Beersh Berkut,,,,4600,41.006534,75.898365,,,
node,5604556440,Ak-Yurta,Ak-Yurta,,,4600,40.902803,75.621623,,,
node,7653467396,Daugava,Daugava,Даугава,,4600,43.1089438,77.3281618,,,
node,9626351188,Киргизии Северная вершина,,,,4600,42.7728896,76.6446451,,,
node,12400477168,,,,,4600,41.9108367,79.2141294,,,
node,10246532003,Zhandosov,Zhandosov,Жандосова,Жандосов,4599,42.9044587,77.2404313,,,
node,5767976030,Лойсу,,,,4595.7,39.4825911,71.3633662,,,
node,5604556437,Ara,Ara,,,4595,40.9014139,75.6406194,,,
node,6187403488,Шанкол,,,,4593,40.0767794,72.7407225,,,
node,9385093833,Дюре (Кобырга),,,,4593,42.7707393,76.6283782,,,
node,1867556445,Кызыл-Суу,,,,4590,42.0643961,78.1742477,,,
node,2589838799,,,,,4590,41.9301405,79.7823548,,,
node,5604552009,Snow King,,,,4590,40.483311,75.0965202,,,
node,5767976396,,,,,4589.4,39.8230982,71.8898359,,,
node,5767976983,,,,,4589,39.5021533,71.2541914,,,
node,2593036042,,,,,4588,39.2601461,74.6034142,,,
node,11818683664,Jarokov,Jarokov,Жарокова,Жароков,4588,42.8984308,77.2466755,,,
node,5760062976,,,,,4587,39.695157,70.5184883,,,
node,2593135380,,,,,4585,39.1559562,74.0603351,,,
node,5604554300,,,,,4585,42.0314444,78.0959944,,,
node,2626958619,,,,,4582,39.0186126,73.6745997,,,
node,5735891975,,,,,4582,41.9628728,77.3325062,,,
node,5760523137,,,,,4582,39.6762111,70.6320047,,,
node,2147902802,Zhyldyz,Zhyldyz,Жылдыз,Жылдыз,4580,42.9134772,77.2706722,,,
node,5578960608,Akgul,Akgul,Акгюль,,4580,43.0663961,77.313881,,,
node,5604554293,Перо,,,,4580,41.943412,77.75292,,,
node,5767976022,Какойлес,,,,4580,39.4746198,71.2622987,,,
node,9919430666,,,,,4580,39.9394223,73.6499404,,,
node,10247146767,,,,,4580,42.1900548,79.336524,,,
node,1867556557,,,,,4579,42.2681881,78.8987514,,,
node,5767976444,,,,,4575.8,39.4869711,71.3041362,,,
node,2593036287,,,,,4575,39.3246593,74.764094,,,
node,2598261576,,,,,4575,39.0304556,74.9267339,,,
node,3345999077,,,,,4574,42.4834121,74.5676797,,,
node,11818683665,100 years of Communism,100 years of Communism,100 лет Коммунизма,Коммунизмге 100 жыл,4574,42.9041446,77.2031327,,,
node,2959677443,Pic Alpini,,,,4573,41.0989622,77.451973,,,
node,2593036297,,,,,4570,39.3282109,74.1033015,,,
node,2593146340,,,,,4570,39.2917804,74.7873265,,,
node,3348588610,Изыскатель,,,,4570,42.5056503,74.5603686,,,
node,5604556428,Robert,Robert,,,4570,40.903732,75.634236,,,
node,5604556434,Darshana,Darshana,,,4570,41.0090361,75.8967889,,,
node,11137546877,Kantbastau,Kantbastau,Кантбастау,Кантбастау,4570,42.8930043,77.1743803,,,
node,12385459887,Сорокина,,Сорокина,,4568,42.2116236,79.931833,,,
node,2593036131,,,,,4567,39.2855922,74.0127742,,,
node,2626958787,,,,,4567,39.1218348,73.970573,,,
node,5767976996,,,,,4567,39.5402511,71.2623162,,,
node,1740226632,Bogatyr Bastygy,Bogatyr Bastygy,Богатырь Главный,,4566,43.0464518,77.2337499,,,
node,2589812536,,,,,4565,41.9242428,79.8802677,,,
node,2596899026,,,,,4565,39.1256519,74.9796199,,,
node,5604556427,Shagyl,Shagyl,,,4565,40.901575,75.611194,,,
node,5604553172,Длинный шпиль,,,,4564,41.078819,77.311719,,,
node,2626959286,,,,,4563,39.3009798,73.7989831,,,
node,7659992048,,,,,4563,39.0901346,69.659435,,,
node,5767976409,,,,,4562.2,39.4891511,71.3854262,,,
node,1740226442,Zhusandykungey,Zhusandykungey,Жусандыкунгей,Жусандыкүңгөй,4562,43.0048311,77.2497394,,,
node,3352712325,,,,,4562,42.5123576,74.7654541,,,
node,5604554269,28 Панфиловцев,,,,4562,42.0383972,77.7979528,,,
node,1867556473,,,,,4561,42.0805312,78.3780312,,,
node,5604556441,,,,,4561,41.048639,76.138453,,,
node,1740226598,Kalesnik,Kalesnik,Калесника,,4560,43.0401538,77.23646,,,
node,1867556451,,,,,4560,42.0044072,78.9323473,,,
node,1867556472,,,,,4560,42.0789524,78.5514297,,,
node,2117832129,Mnich,Mnich,,,4560,40.4992691,74.9064459,,,
