osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia,prominence_calc
node,2117852412,,,,,4721,40.0994957,74.0415845,,,,406
node,5605660847,пик Блюхера,,,,4720,42.2006591,78.444898,,,,389
node,9626351185,Сибирской Академии Наук,,Сибирской Академии Наук,,4720,42.7733778,76.6776725,,,,
node,9626351186,Pal'gov,Pal'gov,Пальтова,Пальгов,4720,42.7729496,76.6780656,,,,270
node,9875873146,Jumar-Too,Jumar-Too,,,4720,40.5386763,74.7960269,,,ru:Тоо,300
node,11649241172,Палатка,,,,4720,42.2404011,78.6952176,,,,351
node,2589838809,,,,,4719,41.9630004,79.7669863,,,,247
node,5604555989,Музбулак,,,,4716,41.244292,77.155046,,,,413
node,5605660827,Таштамбектор-Баши,,,,4716,42.3648263,78.8423738,,,,718
node,5604553161,Пять бастионов,,,,4711,41.0645834,77.3040362,,,,130
node,5605660906,,,,,4711,42.23015,78.6186,,,,212
node,5604552018,Helen,,,,4710,40.4624093,75.0689792,,,,140
node,5604556454,,,,,4710,40.5519806,74.621175,,,,27
node,2593146314,,,,,4706,39.1977975,74.7649101,,,,148
node,5604553162,Пони,,,,4705,41.0339328,77.2902775,,,,82
node,5605660269,А. Морозова,,,,4704,41.60325,78.6918833,,,,261
node,5605660841,пик Карбышева,,,,4700,42.2046247,78.4428696,,,,431
node,2593146317,,,,,4699,39.1989749,74.9359697,,,,153
node,2117852203,穆斯塔格山  Mustak,,,,4697,40.0917937,74.0285768,,,,280
node,1867556456,,,,,4695,42.0273732,78.8337693,,,,225
node,5605660896,Фестивальная,,,,4695,42.1788724,78.5106833,,,,145
node,5604554297,Загадка,,,,4690,42.1118402,78.2798912,,,,261
node,5604556436,Bashnya,Bashnya,,,4690,41.002422,75.930562,,,,367
node,2593135383,,,,,4687,39.1577764,74.1009892,,,,152
node,3336576829,Angela Davis peak,Angela Davis peak,пик Анджелы Девис,,4686,42.5153645,74.7506417,,,,434
node,5604556455,,,,,4685,40.5509944,74.5876528,,,,104
node,2593135373,,,,,4684,39.1405862,74.0777191,,,,69
node,2596899109,,,,,4683,39.1750469,74.9770953,,,,159
node,10566138176,,,,,4683,40.1240037,74.0407491,,,,155
node,1867556460,,,,,4682,42.0350049,78.5670279,,,,321
node,2593135367,,,,,4682,39.132397,74.0063319,,,,77
node,2627097366,,,,,4682,39.0698073,75.0415176,,,,208
node,2593135333,,,,,4679,39.059402,74.2892851,,,,46
node,5604554299,,,,,4677,41.9867833,77.8826861,,,,380
node,12110797689,,,,,4674,42.087565,77.8687434,,,,729
node,5604553725,Значкистов,,,,4670,41.092401,77.424678,,,,202
node,1867556561,,,,,4663,42.2817541,78.8205957,,,,439
node,5604556497,Минджар,,,,4660,40.5315,74.6614833,,,,93
node,1867556430,Борду,,,,4656,42.0705994,78.4949921,,,,305
node,2593036166,,,,,4655,39.2989711,74.5175772,,,,138
node,2598261550,,,,,4655,39.01564,74.917302,,,,155
node,3345999212,,,,,4653,42.5065858,74.591567,,,,304
node,11155837757,Chaykovskiy,Chaykovskiy,Чайковского,Чайковский,4653,42.9114512,77.2807938,,,,807
node,2593036202,,,,,4652,39.3093367,74.6765943,,,,190
node,1867556476,,,,,4651,42.0973555,78.2576634,,,,166
node,2147900825,Акимова,,,,4651,42.3157802,80.1069856,,,,170
node,2589812501,,,,,4650,41.87473,79.9598439,,,,75
node,2589812552,,,,,4650,41.9482276,79.9188436,,,,7
node,2593146233,,,,,4650,39.0443904,74.7213871,,,,-196
node,3336576796,Западная Усечёнка,,Западная Усечёнка,,4650,42.4883154,74.7310982,,,,595
node,3336576839,Турдакуна Усубалиева,,,,4650,42.5297163,74.742361,,,,150
node,5604556456,,,,,4650,40.5601175,74.58146,,,,48
node,5604556493,Chingiz Aitmatov,Chingiz Aitmatov,Чингиза Айтматова,Чыңгыз Айтматов,4650,40.7441032,74.3133258,,Q4362533,ru:Пик Айтматова,451
node,9385093420,Спартакиады народов СССР,,Спартакиады народов СССР,,4650,42.7786812,76.6973919,,,,94
node,2593036329,,,,,4649,39.3300994,74.3326194,,,,232
node,2593036018,,,,,4648,39.2511477,74.5419253,,,,107
node,2589993782,,,,,4647,39.0076274,75.1762752,,,,1309
node,12241649625,Ishanbulak,Ishanbulak,Ишанбулак,Ишанбулак,4647,42.9054059,77.2974677,,,,299
node,9626351187,Киргизии Южная вершина,,,,4646,42.7712917,76.646535,,,,428
node,2593135349,,,,,4645,39.0939311,74.1440758,,,,150
node,5604556492,Чонг-Каракоман,,,,4644,40.68164,74.40654,,,,391
node,349004946,Kemin,Kemin,Кеминский,Кемин,4643,42.9161177,77.2215958,,,,502
node,2589812513,,,,,4643,41.8900369,79.8921777,,,,183
node,10726872457,,,,,4641,42.0607383,78.6011802,,,,119
node,10247146559,,,,,4640,42.1526189,79.2483328,,,,364
node,2593036241,,,,,4639,39.3177413,74.3158311,,,,123
node,3336576809,Искра,,,,4639,42.4965737,74.7649536,,,,381
node,11194770685,,,,,4639,41.9670849,77.7050972,,,,271
node,1867556457,,,,,4638,42.0301144,78.0014585,,,,747
node,2593036152,,,,,4635,39.2967795,74.7199601,,,,180
node,5604554564,Attie,,,,4635,41.9553111,76.7845389,,,,351
node,5604555314,,,,,4634,41.772015,77.68185,,,,856
node,11987843842,,,,,4632,40.070872,74.0178734,,,,211
node,2593135341,,,,,4630,39.0680679,74.2677749,,,,45
node,5604554615,,,,,4630,41.8538997,77.0734691,,,,800
node,2593036180,,,,,4625,39.3042933,74.6377497,,,,174
node,2593035908,,,,,4623,39.215295,74.4424725,,,,101
node,2593135339,,,,,4623,39.0661247,74.2418004,,,,13
node,3998101934,Молдо-Баши,,,,4622,41.5501116,76.8847257,,,,786
node,2589812519,,,,,4621,41.900167,79.9030515,,,,50
node,5604555808,Naryn-Tau,Naryn-Tau,,,4620,41.3539302,76.4668517,,,,984
node,12110797484,,,,,4619,42.0300165,78.0347197,,,,428
node,3660079885,Betkhoven,Betkhoven,Бетховена,Бетховен,4617,42.9360543,77.2611328,,,,287
node,5604556457,,,,,4616,40.6527778,74.4816667,,,,341
node,2589812479,,,,,4615,41.8530743,79.8339234,,,,313
node,3346060509,Ак-Тоо,,,,4612,42.5021885,74.5332926,,,,138
node,5605660901,пик Бригантина,,,,4612,42.1982437,78.5672364,,,,200
node,3336576833,,,,,4611,42.5215028,74.7523211,,,,74
node,1867556482,,,,,4610,42.1161748,78.8765964,,,,268
node,2589812509,,,,,4610,41.8831945,79.7689509,,,,161
node,2117817729,,,,,4605,41.9098467,79.7887123,,,,250
node,8998582833,Charlotte peak,Charlotte peak,пик Шарлотта,Шарлотта чокусу,4605,42.0842008,78.8391492,,,,17
