osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia
node,5257640374,Кызылташ,,Кызылташ,,1828.7,40.9488855,70.5641126,,,
node,2540894249,,,,,1827.4,40.9245873,70.2264495,,,
node,2550388028,,,,,1822.8,41.533571,70.0023995,,,
node,4873830829,,,,,1821.6,41.0116572,70.652647,,,
node,2513583832,,,,,1816.6,41.0949456,70.0510137,,,
node,2284006967,,,,,1812.0,41.6725364,69.738339,,,
node,2567479331,,,,,1811.8,41.9500605,70.3825467,,,
node,5055267697,,,,,1810.4,41.0121753,70.7737326,,,
node,2349352454,,,,,1808.0,41.3980039,70.1751451,,,
node,2313874088,,,,,1807.0,41.761841,69.9426167,,,
node,5104983478,,,,,1806.9,41.0562414,70.9075534,,,
node,2550388041,,,,,1803.5,41.541366,69.998112,,,
node,2683198729,,,,,1801.3,40.7675395,69.8800942,,,
node,2513613329,,,,,1800.9,41.1214091,70.0744964,,,
node,2523903336,,,,,1788.0,41.0497758,70.3101411,,,
node,2542970253,,,,,1778.8,40.9741128,70.2753494,,,
node,2533485875,,,,,1773.4,40.8546012,70.0988218,,,
node,1532529399,Арчевая Шишка,,Арчевая Шишка,,1773,42.3032303,70.3544405,,,
node,5118979258,,,,,1772.6,41.0305661,70.8513879,,,
node,2776793950,Kazygurt,Kazygurt,Казыгурт,,1769,42.0636105,69.7205035,,Q16657046,ru:Казыгурт (гора)
node,2562592720,,,,,1768.5,41.7415034,70.0968958,,,
node,2262651840,Лагерная,,Лагерная,,1768.3,41.6562308,69.664907,,,
node,2539403147,Karaultepa,Karaultepa,Караултепа,,1768.0,40.9027033,70.2096304,,,
node,2514820612,,,,,1764.4,41.1243131,70.3825918,,,
node,11985797546,,,,,1764,42.448304,70.2469682,,,
node,2523903575,,,,,1762.7,41.0879221,70.3476818,,,
node,2575645879,,,,,1762.3,41.3492492,70.1278417,,,
node,5269190774,,,,,1759,40.971563,70.6341183,,,
node,2514698010,Kyzyljan,Kyzyljan,Кызылджан,,1754.3,41.1115508,70.2820508,,,
node,2480964070,,,,,1753.7,41.1565384,69.8043049,,,
node,2566129036,,,,,1752.8,41.9631906,70.4122799,,,
node,2640799736,,,,,1752.3,40.7332435,69.7624146,,,
node,2565850807,,,,,1750.8,41.7301689,70.1678768,,,
node,2343339430,,,,,1748.9,41.3503139,70.1199118,,,
node,5121277811,,,,,1748.3,41.0834227,70.882579,,,
node,2328314873,,,,,1747.2,41.1431017,69.7774572,,,
node,5056233207,,,,,1746.2,41.040941,70.7355594,,,
node,2640757665,Каратепа,,Каратепа,,1745.5,40.752901,69.770017,,,
node,2687930906,,,,,1745.4,40.6498542,69.7232416,,,
node,2511382757,,,,,1741.8,41.1683447,70.3821381,,,
node,2620786274,Абдулакам,,Абдулакам,,1729.0,40.6575619,69.6615453,,,
node,2523909693,,,,,1726.7,41.0360625,70.255986,,,
node,2481033447,,,,,1726.1,41.038705,69.8481319,,,
